,id_participant,merged_datetime,node_id,speed,prev_node_id
995,2,2023-10-16 15:03:10.598000+09:00,3,0.018102077957933636,3
996,2,2023-10-16 17:57:23.001000+09:00,8,0.06687349391631557,3
1007,2,2023-10-16 18:12:55.002000+09:00,181,2.2492880942418503,8
1012,2,2023-10-16 18:22:51.444000+09:00,196,7.001732132072222,181
1021,2,2023-10-17 04:42:41.030000+09:00,188,0.08310149171780735,196
1024,2,2023-10-17 13:43:11.918000+09:00,188,0.0015801239292656144,188
1025,2,2023-10-17 16:00:25.024000+09:00,188,5.565467317235203e-07,188
1026,2,2023-10-17 16:15:31.888000+09:00,188,0.0021826180738917125,188
1031,2,2023-10-17 16:37:05+09:00,190,0.42859141118136584,188
1033,2,2023-10-17 16:45:11+09:00,189,1.0373220209304626,190
1058,2,2023-10-17 22:17:00+09:00,188,0.04355650629108123,189
1059,2,2023-10-18 02:36:29.274000+09:00,188,0.015597096433871185,188
1061,2,2023-10-18 09:17:59+09:00,188,0.02075856164033738,188
1063,2,2023-10-18 09:28:15+09:00,196,5.370198241196369,188
1069,2,2023-10-18 09:38:17.997000+09:00,170,6.076731270071202,196
1072,2,2023-10-18 10:03:27+09:00,17,1.7031707580833697,170
1079,2,2023-10-18 10:14:57+09:00,1,1.4870234056558873,17
1082,2,2023-10-18 11:11:39.192000+09:00,2,0.08726620843350018,1
1083,2,2023-10-18 14:00:08.632000+09:00,2,0.001089577437170209,2
1084,2,2023-10-18 15:00:08.133000+09:00,3,0.01912448909197305,2
1085,2,2023-10-18 16:03:26.328000+09:00,3,0.010433954899095361,3
1086,2,2023-10-18 17:00:15.964000+09:00,3,0.003002139043104274,3
1087,2,2023-10-18 17:59:52.165000+09:00,8,0.202158847122963,3
1091,2,2023-10-18 18:04:53.892000+09:00,20,3.4660270097541437,8
1099,2,2023-10-18 18:24:41.204000+09:00,181,0.8573222701302503,20
1123,2,2023-10-19 08:19:32+09:00,188,0.15764345237447408,181
1125,2,2023-10-19 08:29:14.014000+09:00,184,1.9438046502832886,188
1129,2,2023-10-19 08:39:35.944000+09:00,170,7.601224503085417,184
1138,2,2023-10-19 08:51:14.309000+09:00,21,4.5979977902472635,170
1142,2,2023-10-19 09:02:14+09:00,17,0.7681908736401345,21
1157,2,2023-10-19 09:13:53.001000+09:00,1,1.4453846886196922,17
1160,2,2023-10-19 09:39:23.018000+09:00,3,0.15201385398433476,1
1161,2,2023-10-19 10:12:21.713000+09:00,3,0.0013685118774400373,3
1162,2,2023-10-19 11:00:11.092000+09:00,3,0.000721232067257183,3
1163,2,2023-10-19 13:00:14.702000+09:00,3,0.0014079384236537322,3
1164,2,2023-10-19 14:37:33+09:00,8,0.1224228899206617,3
1169,2,2023-10-19 14:51:30.992000+09:00,21,1.5564390145171152,8
1203,2,2023-10-20 17:54:19.030000+09:00,188,0.0857459719669964,21
1205,2,2023-10-20 18:02:34+09:00,190,1.0107966914529758,188
1207,2,2023-10-20 18:10:31+09:00,190,1.0546605310335595,190
1211,2,2023-10-20 18:15:49+09:00,184,1.5734680593300967,190
1233,2,2023-10-20 22:30:31.490000+09:00,184,0.05846226507088766,184
1235,2,2023-10-20 22:37:50.001000+09:00,188,1.1456974026983517,184
1237,2,2023-10-21 15:05:48+09:00,190,0.008447615401253274,188
1238,2,2023-10-21 15:14:27+09:00,188,0.966092116301959,190
1239,2,2023-10-21 17:27:35+09:00,190,0.06273687248566952,188
1241,2,2023-10-21 17:38:24.607000+09:00,189,0.7850363558435763,190
1263,2,2023-10-21 22:29:39.132000+09:00,188,0.05390663401028006,189
1265,2,2023-10-22 13:47:20+09:00,188,0.009105249492100757,188
1267,2,2023-10-22 13:53:30.901000+09:00,184,3.4961235564462627,188
1269,2,2023-10-22 13:58:38+09:00,196,7.454997966634567,184
1276,2,2023-10-22 14:09:15+09:00,181,7.401531688791511,196
1296,2,2023-10-22 14:31:32.284000+09:00,266,5.949510682598374,181
1303,2,2023-10-22 19:45:02.963000+09:00,266,0.03516410538137317,266
1305,2,2023-10-22 19:54:34+09:00,260,0.8769670715578696,266
1306,2,2023-10-22 23:05:34.135000+09:00,262,0.0566977522380001,260
1307,2,2023-10-22 23:15:46.598000+09:00,256,1.7383603902517797,262
1343,2,2023-10-23 03:06:48.595000+09:00,188,0.916982395149235,256
1345,2,2023-10-23 09:03:16.527000+09:00,188,0.013837957594662493,188
1367,2,2023-10-23 09:45:13.645000+09:00,17,3.6609575725398185,188
1379,2,2023-10-23 09:57:28.144000+09:00,1,1.3385646583648563,17
1383,2,2023-10-23 10:14:13.368000+09:00,2,0.33816006948348093,1
1384,2,2023-10-23 11:16:41.866000+09:00,2,0.005581526016640258,2
1385,2,2023-10-23 12:00:12.593000+09:00,3,0.03293759856674286,2
1391,2,2023-10-23 16:55:30+09:00,2,0.012644147528979374,3
1393,2,2023-10-23 17:06:20.972000+09:00,1,0.8616529112976263,2
1395,2,2023-10-23 17:12:14+09:00,18,1.4402112816620913,1
1401,2,2023-10-23 17:24:00.974000+09:00,21,1.2853371616065599,18
1433,2,2023-10-24 10:50:52+09:00,188,0.1407867985178954,21
1447,2,2023-10-24 11:06:09.284000+09:00,196,4.833558347837013,188
1464,2,2023-10-24 11:33:15+09:00,8,3.1767106129657705,196
1474,2,2023-10-24 12:00:11.603000+09:00,3,0.447918871777786,8
1475,2,2023-10-24 13:05:17.821000+09:00,3,0.0006078930348896441,3
1476,2,2023-10-24 14:00:08.046000+09:00,3,0.001324758300787934,3
1477,2,2023-10-24 16:58:02.001000+09:00,4,0.053407151982075615,3
